TAG,Nome do equipamento,Marca,Modelo,Tensão (V),Status atual,Data da última verificação,Rotina de Verificação,Aviso,POP,Docs
CR.001,HPLC,Agilent Technologies,1260 Infinity,220v,Operacional,3 de fevereiro de 2026,Mensal,Em Conformidade,https://drive.google.com/drive/folders/1NVvFupKrzRSPfQixvK9yPoOIxiU9aGVX,https://drive.google.com/drive/folders/1n5CuhXzK2TLDtjk4FkJVjFUVo68hm9Gn
CR.002,Cromatógrafo Gasoso ,Shimadzu,TCD Zero 2014,220v,Operacional,3 de fevereiro de 2026,Mensal,Em Conformidade,https://drive.google.com/drive/folders/1NVvFupKrzRSPfQixvK9yPoOIxiU9aGVX,https://drive.google.com/drive/folders/1n5CuhXzK2TLDtjk4FkJVjFUVo68hm9Gn
CR.003,Gerador de Nitrogênio ,Peak Scientific,Headspace 250,220v,Em Manutenção,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/1NVvFupKrzRSPfQixvK9yPoOIxiU9aGVX,https://drive.google.com/drive/folders/1n5CuhXzK2TLDtjk4FkJVjFUVo68hm9Gn
CR.004,Cromatógrafo de Íons ,Metrohm,930 Compact IC Flex,220v,Não Avaliado,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/1NVvFupKrzRSPfQixvK9yPoOIxiU9aGVX,https://drive.google.com/drive/folders/1n5CuhXzK2TLDtjk4FkJVjFUVo68hm9Gn
SQ.001,Forno Mufla ,Solidsteel,SSFMr,220v,Operacional,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/12-9TPBQsijxneA65lMRvtKX3r__Ow0NY,https://drive.google.com/drive/folders/1gXH7_87-pR2hHLqIJBABWfLbjXVfF91c
SQ.002,Estufa ,Lucadema,Luca-82/42,220v,Operacional,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/12-9TPBQsijxneA65lMRvtKX3r__Ow0NY,https://drive.google.com/drive/folders/1gXH7_87-pR2hHLqIJBABWfLbjXVfF91c
SQ.003,Incubadora Shaker 1,Lucadema,Luca 222,220v,Operacional,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/12-9TPBQsijxneA65lMRvtKX3r__Ow0NY,https://drive.google.com/drive/folders/1gXH7_87-pR2hHLqIJBABWfLbjXVfF91c
SQ.004,Autoclave,Digitale,AV 30,220v,Não Avaliado,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/12-9TPBQsijxneA65lMRvtKX3r__Ow0NY,https://drive.google.com/drive/folders/1gXH7_87-pR2hHLqIJBABWfLbjXVfF91c
SQ.005,Forno Elétrico Luxo ,Layr,Inox Advanced 2.4,110v,Não Avaliado,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/12-9TPBQsijxneA65lMRvtKX3r__Ow0NY,https://drive.google.com/drive/folders/1gXH7_87-pR2hHLqIJBABWfLbjXVfF91c
SQ.006,Autoclave ,Digitale,AV 30,220v,Não Avaliado,3 de fevereiro de 2026,Trimestral,Em Conformidade,https://drive.google.com/drive/folders/12-9TPBQsijxneA65lMRvtKX3r__Ow0NY,https://drive.google.com/drive/folders/1gXH7_87-pR2hHLqIJBABWfLbjXVfF91c
